Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
"The service was unremarkable. Food was served quickly but the waiter couldn't suggest the best dishes and we got a regular naan instead of garlic naan we ordered.



792. I've been here a couple times. This place serves really great Indian food in a lovely space. Friendly staff, reasonable pricing. I did a lunch prix fix (two courses) for 25$. The theater district can be tough to navigate with all the chains, but this place is a little gem in that neighborhood. I'll be back.



793. The food was purely delicious, cozy atmosphere, nice and relaxing music, calming lighting, excellent service. We are only for five days in NY but we are coming back!



794. Good location for Broadway theater shows. Authentic and somewhat creative Indian cuisine. Good service and pleasant atmosphere.



795. Chose this retaurant because of its high ratings. We were not disappointed. Delicious food albeit too much food, so next time we will order less. Every dish was beautifully flavored and delicious



796. Great options for both vegan and gluten free diets. Mushroom risotto was to die for, as was chaat appetizer. Delicious wine selection.



797. Perfect place with cozy atmosphere and very clean. Food is extremely good, taste. Staff very good, always ready to advise



798. Everyone who works here is so friendly and helpful and the food is outstanding. We were a group of 6 and even were privileged to meet Chef/Owner Hemant Mathur which topped an already fantastic evening. The food is out of this world with lovely flavours, tender meats and even very creative desserts. If you love a modern take on Indian food which remains true to it's roots you have to go here. Don't miss it!!



799. Nice food friendly staff that guide you through the menu whilst making your choice and the food was excellent



800. What an amazing restaurant, just a stone's throw from Times Square. Beautiful decor and a vibrant buzz, with the most friendly, attentive team of staff. Our waiter was so lovely and made us feel very special and cared for. Wine and gins were beautiful and the food ... absolute PERFECTION. Such gorgeous",0.022,0.568,0.409,0.9997,Very Positive
"flavours. We had the samosas, lamb rogan, paneer and the butter chicken ... all simply amazing. They even surprised my daughter with a gorgeous cake for her birthday. 10/10 - would highly recommend this wonderful restaurant.
Natsumi
JapaneseSushiAsian
4.5
801. Excellent Asian food and beer. The service, however, is slow and foreign credit cards are not accepted. Remember to bring cash.



802. Sushi is average, nothing to write home about. Considering it's in a touristic spot, don't expect quality ingredients here. If you tasted delicious rolls before, you'll know this is nothing comparable. Service was ok-ish, but again nothing impressing. Even tough we did not leave a signature for the tip, this was taken from our card, which is not ok.



803. Outstanding! Sushi fresh! Seaweed salad fantastic. Excellent service. Quiet. One of the best Japanese dinner experiences ever.



804. Nice atmosphere, but poor service. The staff is in a hurry to leave, does not offer a dessert or a coffee and brings you the bill before you ask for it !!! I advise against...



805. Perfect pre-fixe pre-theatre menu. The menu provides a good sampling of the Natsumi menu and a variety of typical sushi/Japanese foods. The three course pre-fixe menu was well paced and executed. The salmon roll was flavorful. We also added a tempura shrimp roll which was also delicious. For the main course we both had the shrimp and salmon teriyaki. The salmon was grilled and a little over done but still delicious. The teriyaki sauce was well balanced between sweet and not too salty. For dessert we had the tempura cheesecake and chocolate mousse. The cheesecake had the flavor of a cheese blintz with the nutty and crispy panko breading balancing the sweetness. The chocolate mousse was well executed. Bittersweet mousse with a flourless torte like crust.",0.049,0.717,0.234,0.9965,Very Positive
"Overall, well done and delicious and easy to get in and out of for theatre.



806. So good we loved it, me and my hubbs had a date night here last month and we promised to come back everything was so fresh and the prices were not killer, coming back asap.



807. This place was a great stop for sushi with very reasonable prices. Generous portions and delicious rolls. The drinks were also really amazing. But I only give them 4 stars because service was lacking and it seemed to take forever for a person to ask us if we wanted anything. If the service would have been on par then they get all my stars.



808. The food was excellent, fresh and good value for a platter of sushi .. the waiter tried to up sell a plate when it arrived it was far too much and we said no way not for us .. the manager gladly took it away and lesson learnt by us for sure .. it did smell of burning cooking oil but the quality of the sushi made up for it



809. This restaurant is next to our CitizenM hotel and steps away from the Winter Garden Theatre. Service was quick and the food very tasty and good. Small restaurant and can fill up fast and get busy.



810. Have been invited to this restaurant as a business guest having been given the idea that it is one of the top japanese restaurants in NYK. Our first impression was very good as staff were very friendly and prompt. They also have a nice bar on the other side. Main restaurant area was a bit 'cramped' in space and there was an apparent smell of fried food in the air (which unfortunately remained on our clothes well after we left). Food came astonishingly fast and very well presented - however taste was not reminishent of real japanese food. Even the soy sauce felt 'fusioned'-thick sweet. I have only tried sushi dishes. An overall, average experience.



811. Pre-Christmas dinner for three. We split several apps and sashimi bites. The Japanese fried chicken was overcooked, dry and pretty tasteless. Sashimi items (yellowtail toro, tuna, scallop) were excellent. Rock shrimp tempura app was equally good. Looking at my receipt and comparing it to the menu on Natsumi's website, however, I see that we were charged higher prices in every case. What's up with that?",0.021,0.771,0.208,0.998,Very Positive
"Service was a bit scattered. Some items came quickly; others took far too long. The original plan wasn't to split apps, but when one person is served and the others have to wait 15 minutes, splitting is the obvious solution to the service issue.



812. We wanted a convenient spot for a quick pre-theater meal. This place was perfect. Very close to the theater and easy to have a quick meal. The food was very good. Mostly sushi. Fish was fresh and prepared properly.



813. I was working alone in NYC and wanted to eat somewhere that wouldn't be awkward solo. The place had a chill, darker, evening vibe where I felt comfortable to eat on my own. Good mid-ranged price sushi.



814. This restaurant is a hidden gem!! I come here all the time and when I can't come, I deliver! The sushi is fresh. They have great lunch specials. They have incredible appetizers like Shumai, edamame, and dumplings. They have wine and beer happy hours. Most importantly right now though, you can order through yelp and grub hub during covid 19 crisis!! I love coming here for lunch, dine in and happy hour and delivery and wanted the world to know :) enjoy folks!! Support local and eat delicious food at home



815. Stayed at hotel beside this bar. Was handy maybe to handy. Staff very friendly and welcoming. You can get food in it as well.



816. Best diner with family ..... food is excellent, service is great , cocktails very refreshing...... can't go wrong at theater districts.



817. Stayed at the hotel here and used the bar a couple of times after a day out in the city . Cool bar with what seemed like a lot of well heels locals using it . Then one night after a show we arrived late and were welcomed to our seats . Food was out of this world and all the plates arriving around us also looked fantastic. Really nice atmosphere in the restaurant and staff very helpful. The carpaccio of tuna was a highlight and melted in the mouth. Would definitely revisit. Put this in your list of places to eat.



818. My daughter and myself visited here last summer, and it was the best sushi I have ever had, would recommend without hesitation



819. Great pre-theater dinner spot! Quick service and fresh sushi. The tables are in close proximity with each other and offers an opportunity for one to strike up a conversation with fellow diners.



820. We chose this place for a family dinner for five. Reservations were at 6pm on a Friday and it was already packed. Service was so-so, we had to chase down our waiter for utensils and condiments after the food arrived. The food itself was tasty, especially the sashimi and the tartufoes with matcha and taro ice creams. The Italian influences on the menu were odd, such as green tea gnocchi and mozzarella, pesto, peanut sauce spring rolls. We would have ordered the spring rolls if they had more traditional ingredients.
Connolly's Pub & Restaurant
AmericanIrishBar
4.5
821. Meh/ok. We had nachos for an appetizer. They were ok, The meat tasted like Taco Bell meat, not the chopped meat you normally get at non-fast food restaurants. I had shepherd's pie. It had the same meat. I could not even eat it. The mashed potatoes tasted like powdered mashed potatoes. My husband said his food was also ok, but overcooked. The staff was very attentive and the restaurant was clean, but because of the food, I would not recommend this restaurant nor return. There are many other good options in the same price range nearby.



822. We decided to eat here because it was just 3 doors down from our hotel Hyatt Centric. We just wanted something to eat in the night we arrived in NYC, and we didn't expect anything in particular.",0.018,0.733,0.249,0.9996,Very Positive
"But wow, our dinner was great! My wife had a salad and French onion soup, I had a chicken curry rice dish. Excellent! I did not expect that.",0.0,0.56,0.44,0.9611,Very Positive
"It was so good we went back two days later for breakfast. Again, the food was fantastic.",0.0,0.671,0.329,0.8096,Very Positive
"Loved it!



823. Love this place! I was fortunate to be staying a couple doors down and dined here for multiple meals during my stay. They have multiple employees who are literally from Ireland and speak with the iconic Irish brogue. They support Irish immigrants with work visas, which keeps it authentic. They serve breakfast, lunch, dinner, late-night snacks, and have 40+ beers on tap like any authentic Irish pub. Highly recommend. A+



824. It's a pub, so the drinks are good. It has a proper (nice) old school, traditional Irish Pub ambiance. The food were average. The Fish and Chips dish was decent, but the burger (pictured) was forgettable. I ordered medium rare and it came medium, understandably flavor was dropped by half. Service was fine and efficient. Prices were reasonable.",0.0,0.849,0.151,0.9511,Very Positive
"This may not be the place you have to put on your bucket list, but if you happen to be in Times Square and want a place to hangout for food and drinks, this can be an option.



825. The food is not very good. The crab cakes, and onion soup were not yummy. The pretzel sticks were ok. It is a bit loud inside.



826. We where in NYC pub who is located to 47 street. There was very nice atmosphere and bartenders where very nice. We enjoyed that evening.



827. Great place even during the week to have drinks. Really nice service and good atmosphere. You can ask the Batman Barry to make you something special or just order from the coctail menu.



828. A bartender in the Times Square area recommended this Irish Pub since our favorite pub closed during the pandemic. We enjoyed the loaded potato skins. Even though we didn't finish them, we couldn't finish our fish and chips and shepherds pie, which were healthy portions and served hot. Our server was very friendly. We will definitely be back when we visit NYC.



829. The Irish burger was better than the one I had in Dublin. Excellent service and food. Friendly staff.



830. Dropped in for a quick lunch. Ordered the Tuscan vegetables soup and the Ribeye. Soup was delicious. Steak was very aveeage. I asked for the temperature to me medium because that normally means medium rare. What I got was medium well that was tough. The butter was just dumped in cold pats as an afterthought. Staff is indifferent. This place should be worried because both the neighbors have more attentive staff and better food. Pity.



831. Very welcoming and friendly staff. Very reasonable prices for such a centrally located pub in Times Square. Open until very late so was great to be able to go back for a drink and bite to eat after watching a show on Broadway. Huge range of drinks on offer.



832. We had a couple of dinners and a breakfast here while in NYC, classic NY Irish pub, great food and wonderful experience. The Tele's all around are also great if you like sport, I enjoyed watching the Masters while eating fries and drinking a local pint. Very family friendly and accommodating to the kids requests. Food was tasty and service was very quick. Would recommend it to anyone wanted a meal just off Times Square.



833. We lucked out on this Irish pub! Busy, buzzing and excellent food! Besides Irish fare it offers soups, salads and various American entrees. Extensive bar options if not for the wine connoisseur 



834. Very busy Thursday night in March,we had a reservation, but people were managing to get a table as a walk in.",0.042,0.714,0.245,0.9991,Very Positive
Service was quick and food and drink were good.,0.0,0.734,0.266,0.4404,Slightly Positive
Very noisy so if you don't like it Lound it might not be the place for you.,0.215,0.785,0.0,-0.4772,Slightly Negative
"The atmosphere was great.



835. I love a good pub, and this one was awesome! These are some of the things we ordered. Pretzel appetizer, shepherds, pie, bangers and mash, tasty, shrimp dish.",0.0,0.634,0.366,0.9485,Very Positive
We stopped for dinner here while out around Times Square. Prices were pretty much in line with all the other times square eateries.,0.073,0.805,0.123,0.3182,Slightly Positive
"Atmosphere was great a lot of beautiful wood and the bathrooms were clean. We would definitely come back for another meal went in NYC.



836. So we had dinner here the day after St. Patrick's day . We were told they were so busy on Pats day they may be out of some things but they had what we ordered . Started with a couple of beers and really enjoyed the Guinness . I had the Irish beef stew , and while it was enjoyable there were about six bites of beef , the rest being potatoes . For a main course at a pub , that was very disappointing . I left hungry as we did not have any appetizers because none seemed appealing to us as we are staying away from fried food . My wife really enjoyed the turkey burger and fries . We will be back and try other entrees



837. Great place to visit,we were made to feel welcome the minute we stepped inside,staff great,food we had was superb,would definitely recommend and we will be in next time we're back in New York



838. Excellent Bar, we stayed at the Riu Plaza Times Square and found this pub after a day's sightseeing so had a few beers, returned the next night for meals which were great and more drinks. Pleasant staff and a great location. Will be going back for sure on our next visit.



839. Stay away !! The rudest staff I have ever come across Just don't bother going there There are loads of other places in area and they are a hundred times better Who needs to pay good money to ignorant rude idiots like these



840. Great place, excellent and very friendly service. I had a burger and a cider and they were both really good, not too pricy for the location. Would really recommend for a quick bite.
Friedmans
AmericanVegetarian FriendlyVegan Options
4.0
841. Really great experience from start to finish. We unknowingly arrived about 10 minutes before food and beverage service finished (9pm on Sunday) but never felt rushed or under pressure. Our waiter (didn't get his name but he was from Philadelphia!) was very helpful and engaging throughout with a really pleasant attitude. Huge selection of GF options including pancakes and bread for sandwiches which was fab. Standard NY pricing and delicious food. Will probly go back again before we leave. Highly recommended.



842. Great amount of gluten free choices and food was very good. Service was fast and ideal for pre-theatre dining



843. Petralina waited on us and was amazing... all suggested meal/ wines were on point ... pleasant atmosphere with awesome service !!!! It was Gluten-Free and a lot of food!!!



844. I used the $5 breakfast voucher included with my stay at hotel Edison and ordered the french toast and orange juice. It was a shotglass sized juice, and three slices of French toast. For $5 it was worth it, but if I had paid regular menu price I would've been disappointed. The staff seemed very interested in getting the table turned over as fast as possible which made me feel uncomfortable.



845. Gluten free pancakes to die for! Very worth a visit if you are coeliac as so much of the menu is GF Rest of my family had non gf items and these were also excellent



846. Diner-type menu. Everything we had was very good. One of the better vegan burgers I have had. I wish the singers' mikes were not so loud, though.



847. If you require GF go and go often. Skip the cocktails they were weird (no liquor so they had creative options). Waitstaff not super attentive and menu limited but finding GF in the city was not easy and this was a welcome change.



848. We went to this restaurant, having it highly recommended. The food, to be fair, was very good, but the service and the staff were horrific. Rude, patronising, not interested. Could not believe it. I honestly have never eaten in a place with such poor service. Removed dishes before they had been finished, refused to serve us because they wanted to sing. The list is endless. Avoid at all costs.



849. Good egg dishes and salads and sandwiches, too. Service was fast and friendly, we lingered awhile without feeling rushed out the door. Prices are high but it's Times Square



850. I ordered lunch for an office a few hours ahead of time for 16 people and at the last minute I was informed the entire order was cancelled due to an error on their part. I had to then find another spot for lunch for 16 ppl. Unacceptable.



851. An old-fashioned diner a stone's throw from the theater district. The food is wonderful and so is the atmosphere. It has that old-fashioned charm (Sinatra was playing over the PA) without being hokey or Disney-fied. The staff was great, the restaurant itself is immaculate, and breakfast was just superb.



852. Food and service were very good. The breakfast was complimentary with a $5 seating charge, well worth it!



853. The service was very good, my server was very attentive. The food was great and the quality of the ingredients was excellent. This is a great breakfast spot.



854. Loved that it is inside Hotel Edison, we had the spiked rum cider and it was the best! Great happy hour!



855. Included with our room at the Hotel Edison for $5, It was good place for breakfast to start the day.



856. We had lovely breakfasts and an evening meal here , great gluten free options and staff are lovely :)



857. Friedman's was an excellent choice for Christmas brunch. The food was delicious and the service was fantastic!!!



858. Nice, not a huge wait at a busy time of year. Had a pretty impressive array of gluten free options for breakfast including pancakes, which is unusual.



859. Very basic breakfast cooking with very little attention to service. For $5 ++ you can choose from around 5 different options if you have breakfast included in your Hotel Edison Stay. All very basic.



860. Freidman's has a small but tasty menu. The drinks are well crafted and delicious. We LOVED Gayle's Broadway Rose. Such fun!
Aureole at Home
AmericanVegetarian FriendlyVegan Options
4.0
861. Food was at best 'ordinary' we expected way more with their prices.",0.059,0.659,0.282,0.9999,Very Positive
The thing that annoyed me most was that I definitely didn't enjoy the food and that's what I was there for.,0.216,0.661,0.123,-0.3103,Slightly Negative
"I thought that a restaurant with Michelin stars was awarded the rating for their food , I was wrong.",0.165,0.691,0.144,-0.1027,Slightly Negative
I left remarks similar to this review at the restaurant site and was left a return comment that the food was 'sub' par because we didn't attend the main restaurant ?,0.0,1.0,0.0,0.0,Neutral
Indeed we did attend the main restaurant and chose options from the main menu.,0.0,1.0,0.0,0.0,Neutral
Don' waste your money chasing the Michelin star experience here you won't receive it.,0.177,0.823,0.0,-0.4215,Slightly Negative
"Just an honest review.



862. We've celebrated my partner's 30th birthday in New York and we've chosen Aureole for our last dinner. Have to say it was a perfect experience from the first second as we walked in until we left. The staff is very knowledgeable and helpful. The sommelier's wine recommendation was perfect with the tasting menu, he pointed the wine what we exactly wanted. Paco our waiter was very polite, explained every dish very well and also added an extra course for our dinner. Angie (sorry if I spell it wrong) was also amazing and helpful. Every course was perfectly made and I have to say we had the best steak ever!!! Melted in my mouth, tasty and tender, just perfect. And the dessert was the cherry on top, ice cream wrapped in brownie and cereal, deep fried with gold leaf on top. I wish we could visit NY more often! Thank you for the unforgettable birthday dinner, you guys made our night very special! We will be back!



863. First class food with excellent service Dover sole and duck breast cooked to perfection. Foie gras splendid and octopus was a tender delight. This on a busy Saturday evening. Very nice busy ambience, very enjoyable evening.



864. My wife and I made a 6:00 p.m. reservation and arrived promptly. Unfortunately, the manager, Enrique, told us it would take 20 minutes to be seated because others were finishing. After 30 minutes passed, he continued to tell us a table would be free shortly. Finally, at 6:40, we had to pull the plug and race across the street to rush through a meal at Charlie Palmers because it was clear we weren't going to get a table any time soon at Aureole. Other customers were in the same situation, including a couple that had made a reservation for 5:45 and was still waiting after nearly an hour.",0.007,0.773,0.22,0.9974,Very Positive
"We barely made it to our Broadway show on time. Aureole's lack of organization and the manager's lack of honesty made for an extremely stressful dining experience. Next time I'll go someplace with less name cache and more reliable service.



865. This place has slipped from what it's reputation once was. The quality of the fish was bad. In NYC, you can find good fish at Avra, Esca, and Tanoshi Sushi. The fish at Aureole had that second day fishy smell. The preparation of the fish was uninspired. I may have had better halibut at a junior high school cafeteria.



866. Aureole is ideally located just around the corner from the New Year's ball-dropping area of Times Square and therefore so close to the Theater District. Subway, buses and Grand Central Terminal are all within a ten-minute walk--parking would be a challenge and expensive. Not an outdoor restaurant but inside an exquisite motif featuring an above-floor wine room display over the bar. We were seated in the rear of the restaurant where our corner booth allowed us a view of the floor. Our server Otilia was great in getting us situated and inquiring whether we had a Broadway show to attend that evening (we did); she promised us we would be out in time to make it to the theater (we did!). We took advantage of the Restaurant Week: I ordered the marinated octopus, croquet and steak with dessert and added a wine pairing for each course. Everything was better than expected, served on time at the right temperature and without a rush so that we enjoyed our meal and conversation. Aureole is worth keeping on the list of favorite eateries!



867. The food was ok, but small things like the water served where bad (lots of chlorine taset) that should not be I'm a Restorant of this price and quality



868. Had a good dinner overall. But I wish there were more plant based options in the entree section. The appetizers were fantastic and the chef came up with a great vegetarian alternative, a pasta Primavera. Overall cost was significant. Service was OK but I had to call the server once to get them to take the order and two to Follow up and find out where our food was between courses. It seemed to me to there was a lack of attention and maybe the kitchen was busier than expected overall meal took close to 2.5hrs which seemed longer than expected.



869. However, when we returned this year to celebrate our 39th anniversary, we were disappointed that nothing special was done for us. Last year they really treated us so well, we chose to come back again. Although our dinner was excellent, we will not return for special occasions.



870. I went for a business lunch and was very happy with food and ambiance of this place. The service was excellent! And nothing beats its location in the heart of the city.



871. This is a fabulous restaurant. The food was excellent as well as the service. We both had the Christmas specials and were delighted with what we got. It's expensive but worthwhile. The atmosphere was great for spending time with your dinner date



872. Went to liberty room (they haven2 sides) before going to theater. The food was incredible. We all had Dover sole and it was fantastic. We had a chocolate peanut dessert that was heavenly. Service was superb. Highly recommend this restaurant for a special time. Will definitely go back.



873. We had lunch the day before Christmas. The restaurant was very busy, but our server was excellent. He was extremely kind and very attentive. The Cacio e Pepe was perfectly prepared. The wine list is extensive and reasonably priced. This was our first visit, but will not be our last.



874. The food here is amazing, the combinations innovative, and the service professional, but warm. We met Chef Chris, who is obviously a top-notch chef, but also friendly and informative. The sommelier's wine choices were outstanding. It is not inexpensive, but is still a good value. We'll be back next month.



875. I was in NYC with my extended family and we decided to go to Aureole for dinner one night to celebrate a family event. The atmosphere was warm and cozy and the host and servers were friendly and nice.



876. This place was just alright. Has a weird menu, it's in a very busy location by Times Square, and the service was slow. It's of course pricey because it's Manhattan and a little extra pricey because of this location.



877. There are two dining room options - we booked well ahead for the slightly more formal Dining Room - elegant, with lots of space between tables. Our waiter and sommelier were friendly, knowledgeable and very service orientated. They had terrific food and wine suggestions. They asked if we wanted to accelerate service for a pre-theatre dinner, but were equally happy to accommodate our preference for a longer and more romantic fine dining experience. Really good quality main ingredients, well -balanced by the sides - all fresh, perfectly cooked and well-presented. We were treated to a complimentary extra pudding. Excellent wine too. A fabulous night. We are real foodies and would probably score our experience at Aureole's in our all-time top ten. We also thought that the price was reasonable given the location.



878. The service was very attentive. The room was nice, with spacing between tables that enable discussion. Menu was diverse but very expensive.



879. Our experience here was horrible. First, let me start by saying the inside decor is DATED. Up-class dining? It was a stuffy and boring. Next, the service was horrible. Not to mention I could barely understand our waiter, he took our order and disappeared (actually, I saw him answering 100 questions from a drunk woman at another table). He didn't come back to ask us how our food was. He didn't ask if we needed more water or wine. We asked some other random person for our check. Lastly, the people who eat here are high maintenance and stuffy. Like, I said, there was a drunk woman to my left asking every single question she could possibly think of loud as hell. To my right was another woman complaining she was going to miss her broadway show and making a complete spectacle of it and demanding a free dinner. Hey, I want a free dinner too for having to listen to her complain while I am trying to enjoy my food. I will say the food was good.....but is it worth all these extra stress? Hell no.



880. Aureole is a haven from the more down market eateries of 42nd Street. Excellent food - we had foie gras, butternut veloute, Brussels salad, and squash ravioli to die for. All desserts were divine. Excellent service once we got our wine by the glass - that took a while. We forgive them.
R Lounge at Two Times Square
AmericanBarVegetarian Friendly
4.0
881. What a view over time square - we were lucky enough to get a window seat and it was great to eat and take in the views over time square. Food was good, although a little pricey for what it was - but you are paying for the views and experience. Service was great and all staff very friendly. I was a bit worried given some of the reviews - but so glad We went.



882. Best view of Times Square hands down. I love this place. It's such an exciting place to be. The restaurant isn't over the top, but the food is good and interesting and the view is great. I can't believe it isn't packed at all times. I think it's our secret spot. The value for cost is also good, imo.



883. Best Time Square view, but restaurant does not have a Renaissance style.",0.055,0.704,0.241,0.9999,Very Positive
We did not understand so few people until the service began.,0.0,1.0,0.0,0.0,Neutral
"Not kind, slow, hot wine...",0.41,0.59,0.0,-0.4168,Slightly Negative
So we understood why it was not full.,0.0,1.0,0.0,0.0,Neutral
"Ok, it sells itself, photos were great, but just it.



884. Dinner was fantasic. Couldn't recommend Alex and Ralphie more- so knowledgeable about drinks and the menu. Their hospitality experience was beyond. Great views and overall wonderful night with my wife!



885. Visited R lounge last night. We are staying at the Renaissance and after a long day decided just to go to the hotel bar for a drink and snack before bed.",0.032,0.785,0.183,0.9257,Very Positive
Had the charcuterie board which was just enough (we'd had a big late lunch) and food was really delicious.,0.0,0.81,0.19,0.6115,Positive
"Our server, Marlene was so welcoming and made a point to have a chat to our 10 year old which we really appreciated as kids can quite often be ignored in bars. She was a lovely host and really on the ball.",0.053,0.719,0.229,0.8615,Very Positive
"Will be back in again during this week no doubt!



886. WOW what a view! It was a great spot in the morning to have breakfast and watch the city get moving. In the evenings the atmosphere changed and the crowds in time square grew. Best view around!



887. Had a reservation for Wednesday at 5:30 PM. Man called me the day before and stated that my reservation was for Tuesday and could not be on Wednesday's because they are closed. Checked website, co firmed that they are open. Called back, man said they are closed for construction. Spoke to manager and confirmed, they are not closed for construction but rather they have a pop up event and my reservation was canceled. This restaurant lacks integrity and if they have no integrity, I would not trust them with making food for me and my family.



888. Been trying to book a table here for over two months, they don't appear to have an email address so I've had to phone from the uk, staying up late due to the time difference and costing me a small fortune. I've phoned at least ten times and still haven't managed to get a booking. The first time I was told I was too early to book and to phone back the week that I would like the booking, I explained it was for a table of 14 and for our wedding meal so I didn't feel comfortable leaving it that late. I noticed online that tables of up to 4 were able to book a month in advance so I phoned again. In the following phone calls, when their phone was actually turned on during opening hours and not on voicemail (also left my details several times on voicemail for someone to get back to me with no reply) I was told I had to speak to the manager to book a table but they didn't know where she was, another phone call I did get to speak to a manager who told me their system was down but took my details and she would email me the next day...still waiting 3 weeks later.",0.046,0.903,0.051,0.4632,Slightly Positive
"And now I've phoned a week before the date and guess what they've no space!! And now our choices are limited because I've wasted my time on this poorly managed venue!! Annoyed at myself for putting my time into it but it looks so nice but even more annoyed at the total disregard of someone's wedding day plans. If this is what it's like trying to get booked I can't imagine the customer service inside is much better.



889. The R Lounge is all about the atmosphere. Go for the view and the photo opp but save your money to eat somewhere else. Drinks are fine, but food is very limited. The menu has only a handful of options: a salad, a burger, some bar food appetizer options. Not at all what I was expecting, which was fine dining, so that was disappointing. We shared an overpriced cheeseboard. But if you eat somewhere else and go here just to hang out, take pics and have a drink then its a great environment to meet up with friends. We had late 9pm reservations and the waiters we had were not friendly. They closed at 10pm, which I thought was odd if they are a bar more than restaurant.



890. Perfect view of Times Square. We visited for an evening meal, three teenagers and parents, got great seats at the window. The waiter recommended Shirley Temple drinks for the kids and adults had a beer. Food was snack type bar food and we were happy with that, not very big portions but enough for us.. Overall we enjoyed our visit, Really you come here for the view. For Manhattan it was average prices.. $10 for a can of IPA.. about $20 for a cheese and ham toastie..



891. Amazing atmosphere! Enough noise to not be overhead by others but quiet enough to have good conversations. They have smaller places to be secluded and the big lounge room has several tables that are spread out. If you want a window seat, be sure to request it in your reservation and remind them when you arrive.



892. The title sums up my impression of R Lounge. It's literally perched above the energy and chaos of Time Square. Nice selection of unique cocktails and decent selection of menu items to eat. The burgers are quite good. But, given all the excellent dining options in the theater district, one doesn't go to the R Lounge for Michelin star dining. You go to R Lounge for the fantastic views and the cool atmosphere. Wait staff is incredibly busy, but very attentive. Recommend you make a reservation if you want to secure a window seat. I did and we were seated promptly with a killer view. Definitely worth it.



893. Perfectly placed in the middle of Time Square, food was excellent and ambiance was on point. This is a well kept secret of a view in Time Square....



894. Last minute reservations were made and I brought 6 ladies here for dinner. The views from the dining room are spectacular. R Lounge comfortably immersed us in Times Square while providing excellent dinner service and delicious food. Everyone was very impressed! Thank you R Lounge. Wish I could be in your dining room on NYE!



895. We got a same day reservation - great table and even better view. Good food, service, and drinks for pre-theater!



896. Although this was not the largest of lounges it was not over busy considering the views it had over Times Square and that we were there at a weekend. So, even having been seated in middle we still able to appreciate the outlook while enjoying our drinks.",0.051,0.716,0.234,0.9993,Very Positive
The waiter was eager for us to order and initially did not seem too pleased that we did not want to do so right away.,0.129,0.782,0.089,-0.033,Neutral
The food menu is not extensive but we were aware of this and it did suit our needs however it was disappointing that when we did order the food did not arrive all together.,0.115,0.885,0.0,-0.6486,Negative
"We were determined this would not spoil our evening and enjoyed another drink while relaxing after a busy day taking in the sights.



897. A really nice attention ! Prices are good and the view is absolutley amazing.",0.0,0.604,0.396,0.9583,Very Positive
Also the food is good,0.0,0.58,0.42,0.4404,Slightly Positive
"it took a little while to bring the drinks, but in general was a very nice service.",0.0,0.772,0.228,0.6297,Positive
"Got the steak frites and it was ok. Frites was really good, steak was slightly chewy.",0.0,0.722,0.278,0.659,Positive
"Dinner was ok - I got a glass of wine that was either tainted or just had been open for too long. Was to too tired to complain.



912. Enjoyed a weeknight dinner; one of their fabulous salads (split among three of us) and the moules frites. All very good and the service was fine with one tiny ding for whisking plates away as soon as each of us finished (I mean honestly while I was still enjoying my last bite!), leaving the slowest eater feeling uncomfortable and rushed. I'd go again!



913. My family and I have been to Davids several times. We went for dinner around 3 weeks ago or so. I ordered the Steak Tartare. It was PERFECT. We had red wine and the family enjoyed other dishes. All round it was raves. The same when we go for Brunch over the weekends -it is my favorite place to go because we always manage to get a table, the sevice is great and the food/drinks are wonderful.



914. I would give David's a 4.5 if I could. I've been walking by it for days and finally had the time and the appetite to go in. I had the Burger Queen Deluxe and the highest compliment I can pay it is that it reminded me of the Bob's Big Boy combo, one of the high points of burger history. Juicy and delicious, it's just a great burger. Service is friendly, fast, and unobtrusive.



915. David's Cafe is very well located in the East Village. Food and drinks are great. Staff is super friendly and very efficient. I highly recommend the Burger Queen Deluxe ! Delicious and well priced ! I will definitely come back !



916. My group of 7 friends made a reservation. Naturally ran late, but a majority of us arrived (4) and asked if we could be seated. The place wasn't packed, and there were 2 places we could have been seated. They didn't want to place us because then they may have to kick us out if we aren't done yet, was their rationale for making us wait. After a prod they seated us but not after a VERY long explanation about why they were doing this that was condescending and dismissive.



917. This cafe was quiet when we arrived but it was 3pm and they had big group coming in later for dinner.We had the special of the day and the burger was excellent as was the salad dressing and French fries.It had a quiet relaxed atmosphere and I would recommend if in the East Village.



918. Nice informal restaurant in the heart of East Village. Two of us had the Burger Queen Deluxe as Gluten-free. One had Classic French onion soup. Superbly done all round. Good friendly service. (Not absolutely fantastic, but very good). Prices are not outrageous. Worth a visit.



919. I would Highly recommend David's cafe! The crab cakes and salmon Benedict were delicious and very well served!



920. I just called to see if it was possible to change my reservation this evening and was rudely spoken to by a man. As I repeated myself and the request he yelled at me telling me to stop and that he was going to cancel my reservation and promptly hung up. For literally no reason.",0.037,0.784,0.178,0.9976,Very Positive
"I called back to get his name and was surprised to hear he was one of the owners, Danny. I can't imagine treating a customer in that way especially if it was MY own business.",0.0,0.942,0.058,0.2263,Slightly Positive
